time(ms),accX(G),accY(G),accZ(G)
377.331,1.01392,-0.00903,0.06055
378.254,0.98706,-0.01001,0.05884
379.173,0.97681,-0.00415,0.052
380.091,0.98022,0.00928,0.05884
381.01,0.98022,0.00928,0.05884
381.929,0.97339,0.01221,0.06958
382.848,0.9834,-0.00244,0.07373
383.767,0.99854,-0.00952,0.06226
384.691,0.99707,-0.01587,0.04883
385.609,0.9917,-0.01318,0.05957
386.528,0.98364,0.00073,0.05811
387.454,0.96826,-0.00024,0.05127
388.373,0.96973,-0.00293,0.06152
389.291,0.9895,-0.00195,0.06689
390.21,0.99805,-0.0022,0.0647
391.129,0.98853,0.00146,0.05469
392.051,0.97363,0.00049,0.05103
392.97,0.97363,0.00049,0.05103
393.889,0.96948,-0.00122,0.05273
394.808,0.98242,-0.00024,0.05273
395.73,0.99609,-0.00562,0.0564
396.649,1.00073,-0.00562,0.04932
397.568,0.98926,0.00464,0.04785
398.494,0.97534,0.01465,0.06299
399.413,0.98096,0.01294,0.06592
400.331,0.98071,0.0022,0.06128
401.254,0.97485,-0.00732,0.05591
402.173,0.99438,-0.01489,0.0542
403.091,1.0061,-0.00415,0.06274
404.01,0.98218,0.00488,0.06543
404.929,0.95801,0.01074,0.06055
405.848,0.95801,0.01074,0.06055
406.767,0.96484,0.01929,0.0647
407.691,0.98779,0.00391,0.06445
408.609,1.0022,-0.00903,0.05005
409.528,1.00146,-0.01587,0.03735
410.454,0.98975,-0.01587,0.04297
411.373,0.9812,-0.00293,0.05493
412.291,0.96826,0.00488,0.05786
413.21,0.97095,0.01099,0.05713
414.129,0.98755,0.00977,0.06372
415.051,0.98901,0.00342,0.0647
415.97,0.99707,-0.00073,0.0603
416.889,0.98364,0.00244,0.05762
417.808,0.98364,0.00244,0.05762
418.73,0.96069,0.00073,0.04761
419.649,0.9751,-0.00024,0.05151
420.568,0.99463,0.00342,0.06104
421.494,0.99878,0.0,0.06274
422.413,0.99097,-0.00293,0.0542
423.331,0.98169,-0.00366,0.05176
424.254,0.97681,0.0,0.06421
425.173,0.98706,0.00464,0.06616
426.091,0.99316,0.00171,0.06274
427.01,0.97974,-0.00732,0.06738
427.929,0.98242,-0.00122,0.06836
428.848,0.9856,0.0061,0.07007
429.767,0.9856,0.0061,0.07007
430.691,0.97754,0.00342,0.06348
431.609,0.97021,0.00684,0.05176
432.528,0.96655,0.00903,0.05444
433.454,0.97998,0.00537,0.05908
434.373,0.99609,-0.00317,0.05933
435.291,1.00391,-0.00684,0.05005
436.21,0.99976,-0.00391,0.0498
437.129,0.98584,-0.00098,0.06396
438.051,0.9751,0.00146,0.07031
438.97,0.96436,0.00098,0.06567
439.889,0.97046,-0.00098,0.06519
440.808,0.99536,0.0,0.06543
441.73,1.00146,-0.00391,0.06982
442.649,1.00146,-0.00391,0.06982
443.568,0.98242,-0.00391,0.07324
444.494,0.9585,-0.00122,0.06494
445.413,0.9668,-0.00024,0.05688
446.331,0.98389,0.00317,0.05371
447.254,0.98242,-0.00293,0.05542
448.173,0.9873,-0.00659,0.05371
449.091,0.99487,0.00537,0.05566
450.01,0.99707,0.00781,0.06543
